"";"VATASA";"VATASC";"VATAIA";"VATPIA";"VATPIC";"VATPSC";"VATAIC";"VATPSA"
"2022q1";1587804,3;788453,095;2770848,1;8613160,42;5405576,17;3864544,3;1336988,61;5699888,46
"2022q2";2094613,82;1034415,56;3443821,95;10585844,3;5776674,95;4778755,15;1340768,8;7094077
"2022q3";2170024,8;1157728,43;3338723,15;10839205,6;5930809,29;5450639,04;1327021,49;7875187,82
"2022q4";2653903,64;1328750,87;3947493,68;11048229,9;6025619,46;6114826,45;1336813,66;8895999,62
"2022q5";2796147,17;1410895,02;3962711,96;11193401,5;6416133,34;6324207,77;1681994,59;9188650,06
"2022q6";3284550,42;1521461,89;4960592,96;12676068,7;6489343,54;7091668,52;1370672,38;9604164,66
"2022q7";3452775,56;1605806,9;3901696,68;11235300,2;6455031,05;7124503,4;1353928,65;9461198,91
"2022q8";3450545,45;1660009,5;3864354,05;11227820,1;6288243,2;7143435,75;1342095,59;10771928,4
"2022q9";3322457,82;1647110,09;3859303,38;11529152,9;6258789,73;7402081,86;1350842,39;10853758
"2022q10";3312234,65;1722013,26;3867109,42;11485762,7;6475676,01;7336985,63;1379779,16;10508690,5
"2022q11";3325507,48;1734779,82;3790348;11400794,5;6358569,06;7783536,16;1369104,48;11023990,3
"2022q12";3365252,09;1741547,51;4422509,3;11529563,4;6461362,14;7640890,06;1373419,29;11096208,1
"2023q1";3350541,05;1808553,02;3779656,39;11543437,5;6233812,31;7680517,52;1877421,71;10811659,1
"2023q2";3370040,68;1782807,19;3757830,99;11718212,9;6134594,16;7718684,26;1358766,49;11111481,6
"2023q3";3371735;1843777,14;3732996,81;11484579,6;6110623,27;7753080,54;1365464,48;10886958
"2023q4";3433138,29;1832546,02;3721929,17;11391706,7;6126842,83;7755394,9;1356546,88;11040834
"2023q5";3473815,56;1879084,53;3674882,54;10213949;5896671,78;8067705,71;1352662,51;11343288,6
"2023q6";3538413,57;1536626,37;4378944,52;11806322;5987313,21;7650259,95;1338002,46;10854428,9
"2023q7";3421854,1;1610740,94;3658797,81;10111824,2;5727785,91;5818546,55;1334965,24;8841260,68
"2023q8";3416531,42;1743983,87;3646530,99;11769689,7;5987797,24;7928070,78;1348524,72;10752652
"2023q9";3588942,99;1799560,85;3623438,15;11712452,7;5996527,6;7975667,5;1346556,32;12428188,2
"2023q10";3588646,28;1858734,92;3583369,29;11545673,6;5897317,68;8172524,27;1331756,27;12388145,4
"2023q11";3516606,1;1865542,69;3603423,88;11643453,1;6026223,47;8103060,18;1351247,4;11200186,2
