  *** Tramo Revision: 942  Build: 2017/09/25 09:39:13                                                           ***
"VATASA"
  DATE            Xorig                Xint                Xlin           RESIDUALS                Mean                  TD                  EE                  TO                  LS     Reg 1 (REFF = 6)
 3-2004      2046689.00          2046689.00          2160417.38        -0.354184563E-01      100.000000          100.000000          94.7362139          99.9995782          100.000000          100.000000    
 4-2004      2804477.00          2804477.00          2656863.17        -0.242198687E-01      100.000000          100.000000          105.556256          99.9997048          100.000000          100.000000    
 5-2004      3455681.00          3455681.00          3555943.31         0.287311249E-01      100.000000          100.000000          100.000000          99.9997933          100.000000          97.1806308    
 6-2004      3201053.00          3201053.00          3110808.00        -0.660110939E-01      100.000000          100.000000          100.000000          99.9998553          100.000000          102.901164    
 7-2004      3444642.00          3444642.00          3444645.49         0.292838618E-01      100.000000          100.000000          100.000000          99.9998987          100.000000          100.000000    
 8-2004      2958851.00          2958851.00          2958853.10        -0.218771750E-01      100.000000          100.000000          100.000000          99.9999291          100.000000          100.000000    
 9-2004      3615258.00          3615258.00          3615259.79         0.149666798E-01      100.000000          100.000000          100.000000          99.9999504          100.000000          100.000000    
10-2004      2927887.00          2927887.00          2927888.02        -0.438029173E-01      100.000000          100.000000          100.000000          99.9999653          100.000000          100.000000    
11-2004      1460791.00          1460791.00          1460791.36         0.448606599E-01      100.000000          100.000000          100.000000          99.9999757          100.000000          100.000000    
12-2004      1139217.00          1139217.00          1139217.19        -0.605642933E-01      100.000000          100.000000          100.000000          99.9999830          100.000000          100.000000    
 1-2005      1270907.00          1270907.00          1270907.15         0.492864266E-01      100.000000          100.000000          100.000000          99.9999881          100.000000          100.000000    
 2-2005      1576959.00          1576959.00          1576959.13        -0.335372462E-01      100.000000          100.000000          100.000000          99.9999917          100.000000          100.000000    
 3-2005      2345773.00          2345773.00          2222296.66         0.210291448E-01      100.000000          100.000000          105.556256          99.9999942          100.000000          100.000000    
 4-2005      2521327.00          2521327.00          2661418.48        -0.176501769E-01      100.000000          100.000000          94.7362139          99.9999959          100.000000          100.000000    
 5-2005      3612841.00          3612841.00          3510981.77        -0.823592753E-02      100.000000          100.000000          100.000000          99.9999971          100.000000          102.901164    
 6-2005      3240012.00          3240012.00          3334010.12         0.474975743E-01      100.000000          100.000000          100.000000          99.9999980          100.000000          97.1806308    
 7-2005      3692243.00          3692243.00          3692243.05         0.487516455E-01      100.000000          100.000000          100.000000          99.9999986          100.000000          100.000000    
 8-2005      3099251.00          3099251.00          3099251.03        -0.114201171E-01      100.000000          100.000000          100.000000          99.9999990          100.000000          100.000000    
 9-2005      3760401.00          3760401.00          3760401.03        -0.312468588E-02      100.000000          100.000000          100.000000          99.9999993          100.000000          100.000000    
10-2005      3088809.00          3088809.00          3088809.01        -0.674012743E-02      100.000000          100.000000          100.000000          99.9999995          100.000000          100.000000    
11-2005      1492902.00          1492902.00          1492902.01        -0.100205015E-01      100.000000          100.000000          100.000000          99.9999997          100.000000          100.000000    
12-2005      1242031.00          1242031.00          1242031.00         0.280950341E-01      100.000000          100.000000          100.000000          99.9999998          100.000000          100.000000    
 1-2006      1341321.00          1341321.00          1341321.00         0.123979515E-01      100.000000          100.000000          100.000000          99.9999998          100.000000          100.000000    
 2-2006      1736022.00          1736022.00          1736022.00         0.265426301E-01      100.000000          100.000000          100.000000          99.9999999          100.000000          100.000000    
 3-2006      2181238.00          2181238.00          2302433.16        -0.324082933E-01      100.000000          100.000000          94.7362139          99.9999999          100.000000          100.000000    
 4-2006      3159442.00          3159442.00          2993135.73         0.544037024E-01      100.000000          100.000000          105.556256          99.9999999          100.000000          100.000000    
 5-2006      3747043.00          3747043.00          3855750.85         0.503490815E-02      100.000000          100.000000          100.000000         100.0000000          100.000000          97.1806308    
 6-2006      3723603.00          3723603.00          3618620.89         0.101964090E-01      100.000000          100.000000          100.000000         100.0000000          100.000000          102.901164    
 7-2006      4009587.00          4009587.00          4009587.00         0.147843501E-01      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
 8-2006      3402096.00          3402096.00          3402096.00         0.474447076E-02      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
 9-2006      4139647.00          4139647.00          4139647.00         0.639736181E-02      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
10-2006      3228068.00          3228068.00          3228068.00        -0.505440845E-01      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
11-2006      1580136.00          1580136.00          1580136.00        -0.161679534E-01      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
12-2006      1264557.00          1264557.00          1264557.00        -0.348421227E-01      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
 1-2007      1387422.00          1387422.00          1387422.00        -0.326229958E-02      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
 2-2007      1780997.00          1780997.00          1780997.00        -0.244282669E-02      100.000000          100.000000          100.000000         100.0000000          100.000000          100.000000    
 3-2007      2440476.00          2440476.00          2576075.08         0.681854729E-01      100.000000          100.000000          94.7362139         100.0000000          100.000000          100.000000    
 4-2007      3150972.00          3150972.00          2985111.57        -0.527151811E-01      100.000000          100.000000          105.556256         100.0000000          100.000000          100.000000    
 5-2007      3829267.00          3829267.00          3940360.30        -0.119144714E-01      100.000000          100.000000          100.000000         100.0000000          100.000000          97.1806308    
 6-2007      3861518.00          3861518.00          3752647.55         0.112502747E-01      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2007      4142562.00          4142562.00          4142562.00         0.566596922E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2007      3623173.00          3623173.00          3623173.00         0.321815393E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2007      4262334.00          4262334.00          4262334.00        -0.154595087E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2007      3303459.00          3303459.00          3303459.00        -0.342997096E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2007      1652558.00          1652558.00          1652558.00         0.761569027E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2007      1334225.00          1334225.00          1334225.00         0.296052118E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2008      1462307.00          1462307.00          1462307.00         0.606639986E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2008      1824052.00          1824052.00          1824052.00        -0.257824810E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2008      2647387.00          2647387.00          2508034.21        -0.382400793E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 4-2008      2806388.00          2806388.00          2962318.09        -0.338520955E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 5-2008      3861914.00          3861914.00          3753032.39        -0.529109617E-01      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 6-2008      3555486.00          3555486.00          3658636.47         0.218035261E-02      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 7-2008      4068577.00          4068577.00          4068577.00         0.840891626E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2008      3622609.00          3622609.00          3622609.00         0.331579876E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2008      3918844.00          3918844.00          3918844.00        -0.785617264E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2008      3075084.00          3075084.00          3075084.00        -0.384833636E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
