  *** Seats Revision: 942  Build: 2017/09/25 09:48:03                                                            ***
 "vatasa"
  DATE               Series          TrendCycle       SAser (rec *)   Calendar Adjusted        Seasonal (*)           Irregular           Preadjust             E-Resid      Sep. REG Comp.     REG Comp. in SA    Stoch TrendCycle     Stoch. SASeries
10-2002          2977343.00          2454183.90          2461398.32          2977343.00          120.961446          100.293964          99.8188689         0.167477595E-01      100.000000          100.000000          2454183.90          2465864.95    
11-2002          1368344.00          2430678.63          2407824.55          1368344.00          56.8290576          99.0597660          99.8731759        -0.231869546E-01      100.000000          100.000000          2430678.63          2410882.30    
12-2002          1123082.00          2404740.94          2440868.71          1123082.00          46.0115694          101.502356          99.9112079         0.633915400E-01      100.000000          100.000000          2404740.94          2443038.10    
 1-2003          1131003.00          2378049.94          2361551.42          1131003.00          47.8923723          99.3062159          99.9378389         0.675850231E-04      100.000000          100.000000          2378049.94          2363020.45    
 2-2003          1475523.00          2352018.13          2343397.63          1475523.00          62.9651146          99.6334849          99.9564859        -0.350954475E-01      100.000000          100.000000          2352018.13          2344417.95    
 3-2003          1932791.00          2328690.16          2334101.78          2040181.80          82.8066288          100.232389          94.7073573        -0.544220595E-01      100.000000          100.000000          2328690.16          2334813.13    
 4-2003          2612315.00          2314492.42          2289199.76          2474808.31          114.114768          98.9072053          105.533750        -0.806936251E-01      100.000000          100.000000          2314492.42          2289688.11    
 5-2003          3091874.00          2306565.11          2268211.01          3181575.33          136.313332          98.3371458          97.1660977        -0.392576733E-01      100.000000          100.000000          2306565.11          2268548.99    
 6-2003          3114804.00          2306130.66          2313357.80          3026990.99          134.644282          100.313229          102.890253        -0.128021840E-01      100.000000          100.000000          2306130.66          2313595.92    
 7-2003          3170034.00          2313834.44          2290389.33          3170034.00          138.405902          98.9867419          99.9926909         0.148485358E-01      100.000000          100.000000          2313834.44          2290556.90    
 8-2003          2837936.00          2329474.99          2339165.42          2837936.00          121.322587          100.415992          99.9948859         0.189744699E-01      100.000000          100.000000          2329474.99          2339285.22    
 9-2003          3344271.00          2352372.96          2302768.59          3344271.00          145.228271          97.8913049          99.9964219        -0.162739176E-01      100.000000          100.000000          2352372.96          2302851.14    
10-2003          2909422.00          2380740.44          2403882.01          2909422.00          121.030150          100.972033          99.9974979         0.450976967E-01      100.000000          100.000000          2380740.44          2403942.34    
11-2003          1358885.00          2413110.83          2369442.63          1358885.00          57.3504074          98.1903770          99.9982499         0.284095507E-01      100.000000          100.000000          2413110.83          2369484.25    
12-2003          1195503.00          2442437.02          2529786.11          1195503.00          47.2570782          103.576308          99.9987769         0.112876968          100.000000          100.000000          2442437.02          2529817.22    
 1-2004          1236818.00          2465564.38          2502178.97          1236818.00          49.4296377          101.485039          99.9991459         0.739685639E-01      100.000000          100.000000          2465564.38          2502200.51    
 2-2004          1624799.00          2481288.73          2540154.64          1624799.00          63.9645702          102.372392          99.9994039         0.327652484E-01      100.000000          100.000000          2481288.73          2540169.95    
 3-2004          2046689.00          2489137.68          2470161.14          2160408.27          82.8564974          99.2376257          94.7358208        -0.352376127E-01      100.000000          100.000000          2489137.68          2470171.56    
 4-2004          2804477.00          2488204.16          2481499.31          2656855.32          113.015425          99.7305351          105.555952        -0.240362771E-01      100.000000          100.000000          2488204.16          2481506.65    
 5-2004          3455681.00          2485436.72          2539708.67          3555937.09          136.066039          102.183566          97.1804056         0.289089541E-01      100.000000          100.000000          2485436.72          2539713.12    
 6-2004          3201053.00          2483913.82          2420752.32          3110808.45          132.233809          97.4570226          102.900858        -0.658243019E-01      100.000000          100.000000          2483913.82          2420751.97    
 7-2004          3444642.00          2484095.82          2476672.16          3444642.00          139.083487          99.7011528          99.9999059         0.294553820E-01      100.000000          100.000000          2484095.82          2476674.67    
 8-2004          2958851.00          2486540.06          2465368.57          2958851.00          120.016578          99.1485561          99.9999359        -0.216898860E-01      100.000000          100.000000          2486540.06          2465370.32    
 9-2004          3615258.00          2491586.61          2505442.02          3615258.00          144.296215          100.556087          99.9999569         0.151488711E-01      100.000000          100.000000          2491586.61          2505443.26    
10-2004          2927887.00          2497608.96          2475988.81          2927887.00          118.251221          99.1343659          99.9999719        -0.436081593E-01      100.000000          100.000000          2497608.96          2475989.67    
11-2004          1460791.00          2501588.96          2558601.46          1460791.00          57.0933388          102.279052          99.9999829         0.450393886E-01      100.000000          100.000000          2501588.96          2558602.08    
12-2004          1139217.00          2505779.04          2455728.01          1139217.00          46.3901944          98.0025761          99.9999899        -0.603729150E-01      100.000000          100.000000          2505779.04          2455728.43    
 1-2005          1270907.00          2510130.42          2541983.44          1270907.00          49.9966672          101.268979          99.9999949         0.494630859E-01      100.000000          100.000000          2510130.42          2541983.74    
 2-2005          1576959.00          2515279.66          2478503.20          1576959.00          63.6254574          98.5378781          99.9999989        -0.333528030E-01      100.000000          100.000000          2515279.66          2478503.41    
 3-2005          2345773.00          2522728.99          2548419.39          2222296.52          92.0481537          101.018358          105.556257         0.212140581E-01      100.000000          100.000000          2522728.99          2548419.55    
 4-2005          2521327.00          2535150.90          2501112.55          2661418.37          100.808218          98.6573443          94.7362168        -0.174641684E-01      100.000000          100.000000          2535150.90          2501112.65    
 5-2005          3612841.00          2549338.58          2526793.15          3510987.26          142.981273          99.1154783          102.901004        -0.804911598E-02      100.000000          100.000000          2549338.58          2526789.20    
 6-2005          3240012.00          2564536.21          2582417.45          3334011.11          125.464301          100.697219          97.1806048         0.476830719E-01      100.000000          100.000000          2564536.21          2582416.69    
 7-2005          3692243.00          2581309.98          2608754.92          3692243.00          141.532766          101.063218          100.000006         0.489371161E-01      100.000000          100.000000          2581309.98          2608754.96    
 8-2005          3099251.00          2599467.67          2569238.81          3099251.00          120.629153          98.8371132          100.000006        -0.112332474E-01      100.000000          100.000000          2599467.67          2569238.83    
 9-2005          3760401.00          2618129.61          2600690.32          3760401.00          144.592417          99.3339025          100.000006        -0.293737600E-02      100.000000          100.000000          2618129.61          2600690.34    
10-2005          3088809.00          2637935.06          2650587.59          3088809.00          116.532991          100.479638          100.000007        -0.655176497E-02      100.000000          100.000000          2637935.06          2650587.60    
11-2005          1492902.00          2662043.39          2641956.94          1492902.00          56.5074312          99.2454505          100.000007        -0.983288332E-02      100.000000          100.000000          2662043.39          2641956.95    
12-2005          1242031.00          2685662.69          2701754.37          1242031.00          45.9712775          100.599170          100.000007         0.282818833E-01      100.000000          100.000000          2685662.69          2701754.38    
 1-2006          1341321.00          2708373.72          2714458.39          1341321.00          49.4139458          100.224662          100.000007         0.125838881E-01      100.000000          100.000000          2708373.72          2714458.40    
 2-2006          1736022.00          2731198.99          2762624.82          1736022.00          62.8395860          101.150624          100.000007         0.267298554E-01      100.000000          100.000000          2731198.99          2762624.82    
 3-2006          2181238.00          2753076.54          2674028.91          2302433.15          81.5712198          97.1287530          94.7362205        -0.322205400E-01      100.000000          100.000000          2753076.54          2674028.91    
 4-2006          3159442.00          2769719.38          2833549.90          2993135.72          111.501195          102.304585          105.556263         0.545916637E-01      100.000000          100.000000          2769719.38          2833549.91    
 5-2006          3747043.00          2784437.65          2807783.78          3855752.07          133.451978          100.838419          97.1806067         0.522309418E-02      100.000000          100.000000          2784437.65          2807782.89    
 6-2006          3723603.00          2796922.95          2806029.39          3618626.64          132.700071          100.325428          102.901007         0.103845432E-01      100.000000          100.000000          2796922.95          2806024.92    
 7-2006          4009587.00          2806137.80          2812774.15          4009587.00          142.549199          100.236494          100.000007         0.149724708E-01      100.000000          100.000000          2806137.80          2812774.15    
 8-2006          3402096.00          2812261.78          2785098.16          3402096.00          122.153540          99.0341005          100.000007         0.493257140E-02      100.000000          100.000000          2812261.78          2785098.16    
 9-2006          4139647.00          2816375.23          2856516.67          4139647.00          144.919406          101.425287          100.000007         0.658570008E-02      100.000000          100.000000          2816375.23          2856516.67    
10-2006          3228068.00          2819769.01          2817070.93          3228068.00          114.589518          99.9043158          100.000007        -0.503555616E-01      100.000000          100.000000          2819769.01          2817070.93    
11-2006          1580136.00          2823544.07          2825479.90          1580136.00          55.9245175          100.068560          100.000007        -0.159796519E-01      100.000000          100.000000          2823544.07          2825479.90    
12-2006          1264557.00          2831043.32          2775962.66          1264557.00          45.5538188          98.0544040          100.000007        -0.346538472E-01      100.000000          100.000000          2831043.32          2775962.66    
 1-2007          1387422.00          2842586.90          2796258.70          1387422.00          49.6170830          98.3702100          100.000007        -0.307428707E-02      100.000000          100.000000          2842586.90          2796258.70    
 2-2007          1780997.00          2856583.07          2842848.79          1780997.00          62.6483198          99.5192058          100.000007        -0.225448123E-02      100.000000          100.000000          2856583.07          2842848.79    
 3-2007          2440476.00          2871685.75          2961848.99          2576075.08          82.3970434          103.139732          94.7362205         0.683739708E-01      100.000000          100.000000          2871685.75          2961849.00    
 4-2007          3150972.00          2886549.65          2859992.96          2985111.56          110.174117          99.0799857          105.556263        -0.525265253E-01      100.000000          100.000000          2886549.65          2859992.98    
 5-2007          3829267.00          2896791.35          2905857.30          3940361.55          131.777531          100.312934          97.1806067        -0.117258225E-01      100.000000          100.000000          2896791.35          2905856.38    
 6-2007          3861518.00          2903084.93          2917056.68          3752653.52          132.377202          100.481112          102.901007         0.114389209E-01      100.000000          100.000000          2903084.93          2917052.04    
 7-2007          4142562.00          2908095.50          2882430.90          4142562.00          143.717652          99.1174773          100.000007         0.585462251E-02      100.000000          100.000000          2908095.50          2882430.90    
 8-2007          3623173.00          2911932.12          2890674.20          3623173.00          125.340068          99.2699719          100.000007         0.323701872E-01      100.000000          100.000000          2911932.12          2890674.20    
 9-2007          4262334.00          2913809.87          2942831.58          4262334.00          144.837851          100.996006          100.000007        -0.152707773E-01      100.000000          100.000000          2913809.87          2942831.58    
10-2007          3303459.00          2913685.03          2904142.62          3303459.00          113.749889          99.6724970          100.000007        -0.341109942E-01      100.000000          100.000000          2913685.03          2904142.62    
11-2007          1652558.00          2909667.39          2955755.85          1652558.00          55.9098276          101.583977          100.000007         0.780437402E-02      100.000000          100.000000          2909667.39          2955755.85    
12-2007          1334225.00          2903231.26          2881229.08          1334225.00          46.3074946          99.2421487          100.000007         0.314918135E-02      100.000000          100.000000          2903231.26          2881229.08    
 1-2008          1462307.00          2893530.38          2890489.97          1462307.00          50.5902810          99.8949241          100.000007         0.625501866E-02      100.000000          100.000000          2893530.38          2890489.97    
 2-2008          1824052.00          2880094.80          2906354.69          1824052.00          62.7608188          100.911772          100.000007        -0.255937462E-01      100.000000          100.000000          2880094.80          2906354.69    
