0.570	-0.425	-0.423	-2.435	-0.420	-1.438
-0.005	1.000	-0.005	0.000	-0.003	-0.003
0.401	0.000	1.005	1.001	1.003	0.000
-1.149	-2.720	-0.713	-0.715	-0.715	0.290
-0.715	1.290	1.288	0.285	0.290	0.283
0.282	0.289	0.279	1.289	1.279	0.287
0.003	-1.000	-1.000	-0.998	-1.000	0.005
0.288	-0.718	1.288	1.285	0.283	0.288
0.003	0.000	0.003	0.003	1.003	1.003
-0.005	-0.003	-1.005	-1.005	-1.003	-1.005
0.283	0.293	-0.718	1.293	0.285	0.288
-2.148	-2.143	-0.145	-0.142	-1.143	0.858
-0.430	1.575	1.578	0.565	0.580	-1.438
-0.005	0.000	-0.005	0.000	-0.003	-0.003
0.401	0.000	0.005	1.001	1.003	1.000
-0.149	-0.720	-2.713	-0.715	-0.715	-0.710
0.285	-0.710	1.288	1.285	0.290	0.283
0.282	0.289	0.279	0.289	1.279	-0.713
0.003	0.000	-1.000	-0.998	-1.000	-0.995
0.288	0.283	-0.713	1.285	1.283	0.288
-0.998	-1.000	-0.998	-0.998	-0.998	0.003
0.995	0.998	0.995	-0.005	-0.003	-0.005
0.283	0.293	0.283	-0.708	1.285	0.288
0.853	-2.143	-2.145	-0.142	-0.142	-1.143
0.570	-0.425	1.578	1.565	0.580	0.563
-0.005	0.000	-0.005	0.000	-0.003	-0.003
-0.599	-1.000	-0.995	-0.999	0.003	0.000
0.851	1.280	0.288	-1.715	0.285	0.290
0.285	0.290	-0.713	1.285	1.290	0.283
-0.718	-0.711	-0.721	-0.711	-0.721	0.287
1.003	1.000	1.000	0.003	0.000	0.005
0.288	0.283	0.288	-0.715	1.283	1.288
0.003	-1.000	-0.998	-0.998	-0.998	-0.998
-0.005	0.998	0.995	0.995	-0.003	-0.005
0.283	0.293	0.283	0.293	-0.715	1.288
0.853	0.858	-2.145	-2.143	-0.142	-0.142
-1.430	0.575	-0.423	1.565	1.580	0.563
-0.005	0.000	-0.005	0.000	-0.003	-0.003
0.401	-1.000	-0.995	-0.999	-0.998	0.000
-0.149	1.280	1.288	0.285	-1.715	0.290
0.285	0.290	0.288	-0.715	1.290	1.283
-1.718	-0.711	-0.721	-0.711	-0.721	-0.713
0.003	1.000	1.000	1.003	0.000	0.005
-0.713	-0.718	-0.713	-0.715	-1.718	0.288
